review_text,sentiment
รอนานเกินไป ไม่คุ้มค่า,negative
ประสบการณ์ดี ไม่มีปัญหา,positive
ส่งผิดสี ติดต่อยาก,negative
ขอคืนเงินเพราะใช้งานไม่ได้จริง ๆ,negative
ราคาคุ้มค่า การจัดส่งดี,positive
ใช้แล้วดีมาก แนะนำเลยครับ,positive
ของไม่ตรงปก ผิดหวังสุด ๆ,negative
บริการลูกค้าดี ใส่ใจ,positive
แพ็คของแย่ ทำให้สินค้าเสียหาย,negative
ประทับใจมาก จะสั่งอีกแน่นอน,positive
เจอของปลอม ไม่แนะนำ,negative
ผิดหวังกับบริการครั้งนี้,negative
ส่งไว แพ็คของดี ของสวย,positive
รองเท้าใส่สบาย สีตรงตามรูป,positive
สินค้าคุณภาพเยี่ยม ประทับใจจริง ๆ,positive
ของตรงปก คุณภาพดีมาก,positive
สินค้าดีมาก ส่งเร็ว บริการเยี่ยม,positive
สินค้าไม่ได้คุณภาพ ใช้งานไม่ได้,negative
บริการแย่มาก ตอบแชทช้า,negative
ของเสียหาย เปิดกล่องมาก็พัง,negative
